OrderID,CustomerID,Restaurant,ItemLine,Price,Quantity,Discount,Date
11014,20199,Kedzie,"Wine - White, French Cross",209,1,60,9/15/2019
11015,20440,Dexter,"Marsala - Sperone, Fine, D.o.c.",751,7,10,5/2/2020
11015,20298,Trailsway,Pails With Lids,148,5,10,1/26/2020
11016,20572,Huxley,Mousse - Passion Fruit,146,9,60,4/24/2020
11016,20516,Mcbride,V8 Splash Strawberry Kiwi,750,1,10,4/29/2020
11017,20116,Waubesa,Pineapple - Regular,718,8,40,3/29/2020
11017,20641,Stuart,Puree - Guava,780,8,50,3/24/2020
11017,20341,Hayes,"Juice - Grape, White",846,10,10,8/23/2019
11018,20846,Mayer,Everfresh Products,354,6,10,1/5/2020
11018,20306,Dawn,Yukon Jack,494,8,60,2/9/2020
11019,20066,Redwing,Muffin Mix - Raisin Bran,868,8,30,4/25/2020
11019,20736,Prairie Rose,"Wine - White, Chardonnay",872,5,50,1/1/2020
11020,20945,Briar Crest,"Wine - White, Pinot Grigio",686,9,20,11/8/2019
11021,20361,Scott,Bananas,137,10,30,10/14/2019
11022,20596,Beilfuss,Black Currants,924,7,20,3/9/2020
11024,20065,Mallory,"Jam - Blackberry, 20 Ml Jar",660,7,30,11/22/2019
11025,20671,Monument,"Bar Mix - Pina Colada, 355 Ml",346,10,60,12/19/2019
11027,20003,Hauk,Beets - Golden,755,3,10,9/10/2019
11027,20078,Dwight,Sage - Ground,263,7,10,7/27/2019
11028,20545,Melody,Sauce - Balsamic Viniagrette,925,8,30,12/10/2019
11028,20729,Jana,Beets - Golden,305,2,50,1/29/2020
11029,20695,Commercial,Muffin Mix - Carrot,676,5,20,2/16/2020
11030,20781,Magdeline,Napkin White - Starched,815,2,60,12/22/2019
11030,20304,Crest Line,Turkey Leg With Drum And Thigh,55,9,40,1/7/2020
11032,20661,Golf View,Macaroons - Two Bite Choc,464,3,10,3/23/2020
11033,20396,Cordelia,Bouq All Italian - Primerba,959,10,60,7/3/2020
11035,20204,Anniversary,Kohlrabi,461,4,10,10/30/2019
11036,20578,Tony,"Chilli Paste, Ginger Garlic",508,7,50,4/22/2020
11036,20129,Weeping Birch,Plastic Arrow Stir Stick,550,6,30,4/13/2020
11036,20655,Thackeray,Wine - Mondavi Coastal Private,443,9,60,1/29/2020
11036,20513,Golf,Ham - Procutinni,806,4,10,11/13/2019
11037,20244,Twin Pines,Wine - Magnotta - Cab Franc,977,9,20,5/17/2020
11037,20041,Manufacturers,Wine - Ruffino Chianti,40,4,60,3/30/2020
11037,20888,Acker,Lobster - Tail 6 Oz,920,7,60,11/12/2019
11038,20221,Grayhawk,Food Colouring - Red,811,1,40,5/19/2020
11041,20979,Shasta,Bar - Sweet And Salty Chocolate,713,10,40,7/12/2020
11041,20262,7th,Green Scrubbie Pad H.duty,568,8,50,7/21/2020
11042,20526,Lake View,"Rum - Spiced, Captain Morgan",375,8,20,2/19/2020
11043,20455,Elka,Turkey Tenderloin Frozen,391,8,40,7/30/2019
11043,20331,Westport,Mahi Mahi,683,1,40,7/7/2020
11043,20692,Straubel,"Marjoram - Dried, Rubbed",891,3,60,4/7/2020
11044,20029,Maple Wood,Munchies Honey Sweet Trail Mix,487,4,20,7/5/2020
11044,20846,Mendota,Wine - Marlbourough Sauv Blanc,182,8,20,5/23/2020
11044,20300,Kedzie,Chocolate - Compound Coating,858,6,50,11/27/2019
11046,20948,Derek,"Wine - Magnotta - Red, Baco",890,10,50,3/10/2020
11047,20846,Hollow Ridge,Nantucket - Orange Mango Cktl,316,6,10,4/12/2020
11049,20371,Lakewood,Sprouts - Alfalfa,501,8,40,9/7/2019
11049,20303,Brentwood,Cheese - Shred Cheddar / Mozza,701,4,40,3/3/2020
11050,20590,Cottonwood,Cherries - Frozen,601,7,30,9/16/2019
11052,20527,4th,"Brandy - Orange, Mc Guiness",458,7,40,8/10/2019
11054,20508,Graedel,Muffin Hinge - 211n,472,1,20,7/27/2019
11054,20400,Granby,"Pepper - Chillies, Crushed",315,10,20,3/9/2020
11055,20924,Monterey,Ice Cream Bar - Oreo Sandwich,253,9,40,6/4/2020
11055,20770,International,"Noodles - Cellophane, Thin",681,9,60,11/21/2019
11055,20933,Blue Bill Park,Sesame Seed Black,945,1,30,8/24/2019
11057,20387,Emmet,"Capon - Breast, Wing On",623,8,40,11/3/2019
11058,20863,Shopko,Bread - Italian Roll With Herbs,201,2,10,10/7/2019
11059,20543,Prairie Rose,Nori Sea Weed - Gold Label,806,10,40,1/31/2020
11059,20365,Meadow Ridge,Beans - Kidney White,277,10,50,10/18/2019
11059,20296,Sycamore,Pastry - Mini French Pastries,385,2,20,4/16/2020
11059,20130,Victoria,Goulash Seasoning,934,5,30,11/15/2019
11060,20436,Superior,Vaccum Bag 10x13,705,5,20,11/12/2019
11060,20769,Bunker Hill,"Mushroom - Oyster, Fresh",575,8,40,3/1/2020
11060,20353,David,Water - Aquafina Vitamin,395,2,40,7/27/2019
11061,20267,Stuart,The Pop Shoppe - Root Beer,160,3,10,3/31/2020
11062,20407,Talisman,Wine - Lou Black Shiraz,263,4,50,5/6/2020
11063,20472,Merry,Bar Bran Honey Nut,656,8,20,6/9/2020
11063,20668,Daystar,Jicama,334,10,20,3/13/2020
11064,20320,Monument,Cookies - Englishbay Oatmeal,895,3,60,9/8/2019
11067,20730,Scoville,Coconut - Whole,50,2,40,4/22/2020
11067,20858,Fremont,"Lid - Translucent, 3.5 And 6 Oz",827,4,60,8/17/2019
11067,20994,Roxbury,Soup - Campbells - Tomato,736,6,10,12/8/2019
11068,20567,Golf View,Fireball Whisky,105,3,40,1/24/2020
11068,20197,Anderson,Papadam,579,1,30,9/22/2019
11069,20091,Menomonie,Sauce - Alfredo,603,6,60,2/8/2020
11069,20522,Miller,Radish - Pickled,148,10,20,1/17/2020
11069,20470,Muir,Red Currant Jelly,238,3,40,3/16/2020
11070,20095,Tony,Bread Foccacia Whole,176,7,30,4/11/2020
11071,20832,Weeping Birch,Chicken - Whole,957,1,30,2/10/2020
11072,20084,Independence,Sole - Fillet,911,5,60,10/3/2019
11073,20923,Bayside,Tuna - Bluefin,494,3,60,12/18/2019
11073,20810,Bartillon,"Schnappes - Peach, Walkers",76,5,20,7/20/2020
11073,20133,Mayfield,Oregano - Fresh,444,8,60,9/6/2019
11075,20838,Clemons,"Plate - Foam, Bread And Butter",244,1,50,6/6/2020
11075,20893,Sunfield,Crab - Soft Shell,534,2,10,11/24/2019
11077,20336,Algoma,Garbag Bags - Black,770,8,40,6/3/2020
11078,20430,Brickson Park,Flour - Pastry,658,2,30,5/1/2020
11079,20401,Bluestem,Bread - Mini Hamburger Bun,59,8,30,5/1/2020
11079,20985,Red Cloud,Paper Cocktail Umberlla 80 - 180,408,4,30,6/29/2020
11080,20630,Mifflin,"Bread - Bagels, Mini",729,8,30,3/22/2020
11082,20474,Morrow,Wine - Balbach Riverside,818,7,10,8/4/2019
11082,20511,Carey,Numi - Assorted Teas,894,8,60,12/12/2019
11082,20554,Pond,Peach - Fresh,296,9,10,7/14/2020
11083,20502,Haas,Almonds Ground Blanched,995,5,50,9/1/2019
11084,20140,Kensington,Hand Towel,713,4,50,5/1/2020
11084,20078,South,Bread Base - Toscano,672,7,50,11/13/2019
11085,20609,Lindbergh,Wine - Pinot Noir Pond Haddock,989,8,10,7/24/2019
11085,20028,6th,Soup Campbells - Tomato Bisque,703,2,40,1/19/2020
11085,20450,Knutson,"Rice Pilaf, Dry,package",557,6,30,12/24/2019
11086,20664,Meadow Vale,"Spoon - Soup, Plastic",692,7,40,12/2/2019
11086,20846,Maywood,Crab - Soft Shell,621,8,20,10/25/2019
11087,20005,Melrose,Bay Leaf,895,7,60,12/2/2019
11088,20808,Oxford,Mcguinness - Blue Curacao,164,8,20,3/18/2020
11089,20597,Straubel,"Rum - Light, Captain Morgan",847,6,50,11/2/2019
11090,20958,Division,"Pasta - Cannelloni, Sheets, Fresh",105,7,10,7/5/2020
11091,20777,Esch,Pastry - Butterscotch Baked,489,2,60,8/23/2019
11092,20137,Declaration,Cocoa Powder - Dutched,537,3,50,11/9/2019
11092,20793,Gateway,"Turkey - Breast, Smoked",505,5,40,6/27/2020
11093,20050,Raven,Rosemary - Dry,103,6,50,10/15/2019
11094,20254,Dakota,Bacardi Mojito,442,6,30,2/15/2020
11094,20235,Old Gate,Sauce - Salsa,542,3,60,10/14/2019
11094,20995,Riverside,"Bread - Pumpernickle, Rounds",486,8,20,12/16/2019
11095,20098,Maywood,Chicken - Tenderloin,83,8,40,7/11/2020
11095,20298,Spaight,Wine - Sogrape Mateus Rose,582,6,20,2/28/2020
11096,20876,Reindahl,Wine - Tio Pepe Sherry Fino,323,6,40,11/3/2019
11096,20418,Loomis,Salmon Steak - Cohoe 6 Oz,204,1,40,8/8/2019
11097,20701,Chinook,Lettuce - Spring Mix,952,7,40,8/3/2019
11097,20330,Debs,Wine - Fat Bastard Merlot,803,5,30,9/13/2019
11098,20129,Dixon,"Halibut - Whole, Fresh",268,10,10,10/4/2019
11099,20400,Washington,Puree - Mocha,651,5,30,4/23/2020
11101,20844,Buena Vista,"Wine - White, Ej",604,4,50,6/16/2020
11101,20473,Merry,Oil - Cooking Spray,776,5,60,12/22/2019
11102,20328,Buhler,Bagel - Everything,606,1,60,2/7/2020
11102,20485,Pepper Wood,Wine - Muscadet Sur Lie,558,10,60,4/22/2020
11105,20941,Manley,Flower - Carnations,893,2,10,9/20/2019
11106,20954,Arapahoe,"Fish - Artic Char, Cold Smoked",566,4,60,1/12/2020
11106,20077,Monument,Lamb Rack - Ontario,286,7,40,5/18/2020
11107,20738,Waywood,Cheese - Perron Cheddar,73,5,50,2/22/2020
11107,20570,Forest,Tomatoes - Hot House,122,6,20,5/5/2020
11110,20739,Cambridge,Eggplant Oriental,303,7,50,8/22/2019
11110,20367,Mallory,Oyster - In Shell,902,6,10,1/7/2020
11110,20313,Jana,Grapes - Black,144,9,50,1/10/2020
11111,20139,Little Fleur,Jameson Irish Whiskey,449,3,30,10/20/2019
11111,20011,Coleman,"Beef - Bones, Cut - Up",622,6,30,9/24/2019
11111,20696,Kennedy,Bread - Flat Bread,103,3,20,9/29/2019
11111,20198,Linden,Grapefruit - Pink,922,6,50,10/1/2019
11112,20086,Meadow Vale,External Supplier,305,1,50,3/10/2020
11113,20395,Sheridan,Beer - Blue,546,4,30,3/9/2020
11114,21000,Prentice,"Jam - Marmalade, Orange",887,9,10,7/23/2019
11114,20284,Merry,Appetizer - Crab And Brie,628,10,20,1/3/2020
11114,20326,Garrison,Bagelers - Cinn / Brown,597,1,60,8/6/2019
11114,20736,Randy,"Split Peas - Yellow, Dry",93,2,40,4/4/2020
11114,20810,Crest Line,Vaccum Bag 10x13,985,2,60,2/9/2020
11115,20062,Northport,External Supplier,552,7,60,11/5/2019
11117,20439,Dottie,Bread - Rosemary Focaccia,231,7,50,9/26/2019
11117,20632,Forest Run,Pasta - Agnolotti - Butternut,574,6,50,10/25/2019
11117,20593,Jenna,"Veal - Tenderloin, Untrimmed",285,1,40,2/4/2020
11117,20847,Stone Corner,Crackers Cheez It,73,3,20,9/13/2019
11118,20847,Lindbergh,Muffin Hinge 117n,92,9,20,3/16/2020
11118,20608,Lukken,Cheese - La Sauvagine,623,10,20,9/9/2019
11118,20157,Talmadge,"Mushroom - Enoki, Dry",226,6,20,7/7/2020
11118,20714,Dexter,Muffin Mix - Chocolate Chip,255,6,60,9/9/2019
11119,20036,Mitchell,Ham - Cooked Italian,681,4,30,5/23/2020
11119,20959,Ohio,"Vermouth - Sweet, Cinzano",184,1,30,2/29/2020
11120,20451,Pleasure,Juice - Apple Cider,736,3,60,7/18/2020
11122,20303,Dorton,Water - Spring Water 500ml,142,10,40,5/2/2020
11124,20041,Northridge,"Tabasco Sauce, 2 Oz",953,8,50,12/11/2019
11128,20977,Grasskamp,Beans - Fine,669,7,50,11/23/2019
11128,20398,Superior,Lady Fingers,562,1,60,10/31/2019
11129,20657,Thompson,Otomegusa Dashi Konbu,91,2,10,8/8/2019
11129,20757,Ruskin,Pimento - Canned,503,6,20,7/18/2020
11129,20616,Florence,Sugar Thermometer,47,5,40,1/2/2020
11129,20360,Delaware,Scallops - In Shell,308,5,30,1/17/2020
11130,20466,Melvin,Ice Cream Bar - Oreo Cone,99,1,50,5/14/2020
11131,20259,Ruskin,Cookie Double Choco,841,7,20,1/31/2020
11132,20212,Weeping Birch,Pepper - Chili Powder,138,5,20,12/1/2019
11132,20522,Eliot,Sobe - Orange Carrot,718,8,50,2/10/2020
11132,20430,Scoville,Nantucket - Pomegranate Pear,197,8,20,12/22/2019
11132,20168,Eastwood,Instant Coffee,428,4,10,3/7/2020
11132,20782,Mayer,Phyllo Dough,802,3,60,6/2/2020
11133,20277,Sunfield,Wakami Seaweed,597,7,30,6/3/2020
11134,20448,Summerview,Fond - Neutral,40,10,50,7/25/2019
11134,20228,5th,"Soup - Knorr, Country Bean",538,7,10,4/11/2020
11135,20790,2nd,Juice - Orangina,196,8,10,1/10/2020
11137,20636,Ridgeview,Bread Base - Italian,615,7,50,9/26/2019
11137,20520,Hagan,Bread - Olive Dinner Roll,100,7,60,6/9/2020
11137,20391,Dottie,Cake - French Pear Tart,153,2,40,8/4/2019
11139,20187,Walton,Sesame Seed Black,761,2,20,9/14/2019
11139,20149,John Wall,"Lid - Translucent, 3.5 And 6 Oz",398,9,30,12/22/2019
11139,20771,John Wall,Soup - Campbells Chili Veg,456,6,10,5/7/2020
11140,20619,Clove,"Pork - Loin, Bone - In",896,9,30,8/9/2019
11140,20853,Namekagon,Wine - Zinfandel California 2002,707,3,60,3/24/2020
11140,20839,Autumn Leaf,Sambuca - Opal Nera,280,3,50,10/28/2019
11140,20261,Meadow Valley,Wine - Sawmill Creek Autumn,526,6,20,12/13/2019
11140,20574,Basil,Almonds Ground Blanched,635,4,10,5/21/2020
11144,20199,Del Sol,"Cheese - Mozzarella, Buffalo",425,10,60,7/30/2019
11144,20849,Di Loreto,Dry Ice,710,9,30,9/10/2019
11146,20730,Lakewood Gardens,Mushroom - White Button,448,3,30,6/3/2020
11146,20586,Utah,"Soup - Campbells, Chix Gumbo",488,6,50,5/10/2020
11147,20743,Lighthouse Bay,Beer - Original Organic Lager,294,8,40,11/12/2019
11147,20713,West,V8 Pet,421,4,30,8/17/2019
11148,20603,Dovetail,"Yogurt - Banana, 175 Gr",781,7,60,7/26/2019
11149,20455,Independence,Muffin Mix - Raisin Bran,942,5,30,12/18/2019
11150,20582,Towne,Pork - Smoked Kassler,371,9,20,9/29/2019
11150,20508,Old Gate,Dried Peach,464,1,10,4/26/2020
11150,20303,Northview,Appetizer - Escargot Puff,57,9,20,10/21/2019
11151,20892,Hermina,Gatorade - Orange,949,10,40,3/30/2020
11152,20420,Tomscot,Cake Slab,754,2,40,7/18/2020
11152,20058,Sugar,Veal - Eye Of Round,422,7,60,6/7/2020
11153,20447,Thierer,Cookie Trail Mix,987,1,20,11/23/2019
11153,20792,Northview,Muffin Chocolate Individual Wrap,443,4,20,11/17/2019
11153,20817,Norway Maple,Cheese - Mozzarella,153,6,40,9/4/2019
11153,20821,Elka,Table Cloth 90x90 White,534,2,60,11/28/2019
11154,20900,Karstens,"Dill - Primerba, Paste",757,6,20,9/24/2019
11155,20809,Dawn,Beans - Butter Lrg Lima,420,8,40,1/8/2020
11155,20425,Schlimgen,Carrots - Mini Red Organic,106,4,50,6/4/2020
11155,20856,New Castle,"Oil - Truffle, Black",635,9,60,10/4/2019
11155,20560,Packers,Beer - Heinekin,498,10,60,12/5/2019
11156,20955,Oakridge,Garlic - Peeled,955,3,60,10/3/2019
11159,20336,Mayer,Wine - Hardys Bankside Shiraz,472,8,30,2/11/2020
11159,20933,Thierer,Bar Nature Valley,620,2,10,8/22/2019
11159,20178,Hoepker,Bagelers - Cinn / Brown,134,2,30,3/5/2020
11160,20088,Londonderry,"Pasta - Elbows, Macaroni, Dry",553,4,40,5/10/2020
11161,20484,Golf Course,"Lid - Translucent, 3.5 And 6 Oz",967,10,50,8/16/2019
11161,20893,Melvin,Flour - Rye,531,2,40,5/26/2020
11162,20450,Forest,"Shrimp - Baby, Warm Water",808,6,40,7/9/2020
11162,20751,East,Trout - Smoked,393,5,30,1/7/2020
11163,20473,Quincy,"Crush - Orange, 355ml",241,5,30,3/10/2020
11164,20892,Killdeer,Red Currants,274,1,40,6/4/2020
11164,20230,Park Meadow,Shrimp - Black Tiger 26/30,576,3,60,3/14/2020
11164,20291,Scofield,Dc - Sakura Fu,130,2,40,11/11/2019
11165,20726,Sullivan,Wine - Delicato Merlot,305,5,20,10/28/2019
11166,20279,Helena,Pork - Back Ribs,688,4,20,3/30/2020
11168,20635,Coleman,"Bread - Roll, Whole Wheat",919,4,10,6/7/2020
11168,20609,8th,"Water - Mineral, Carbonated",558,6,40,9/18/2019
11169,20943,Buhler,Papayas,259,6,40,12/7/2019
11169,20342,Ryan,Frangelico,718,6,30,5/23/2020
11169,20296,Lerdahl,Pasta - Orecchiette,239,4,40,12/12/2019
11171,20554,Haas,Sauce Bbq Smokey,328,10,60,1/8/2020
11171,20023,Lotheville,Ham - Cooked Bayonne Tinned,499,2,40,6/23/2020
11172,20476,Northview,Grapefruit - White,763,4,40,12/15/2019
11172,20993,Lakeland,Longos - Penne With Pesto,660,4,60,1/17/2020
11172,20874,Maple,Basil - Pesto Sauce,742,6,60,2/22/2020
11172,20458,Marquette,"Nut - Cashews, Whole, Raw",180,5,10,8/17/2019
11173,20550,Alpine,Squid - U - 10 Thailand,712,8,30,4/2/2020
11173,20059,Jana,"Nut - Almond, Blanched, Sliced",490,10,60,10/24/2019
11174,20744,Green,Bread Cranberry Foccacia,890,1,10,10/7/2019
11174,20904,Carioca,"Wine - Red, Cooking",530,9,40,4/20/2020
11174,20297,Sunbrook,French Pastry - Mini Chocolate,86,2,10,5/13/2020
11175,20994,Pepper Wood,Coffee Cup 8oz 5338cd,928,7,60,4/29/2020
11176,20285,Chinook,"Water - Mineral, Carbonated",789,5,40,7/20/2020
11176,20698,Fair Oaks,"Salmon - Atlantic, Fresh, Whole",86,3,20,4/26/2020
11177,20151,Esker,"Turkey - Breast, Bone - In",482,4,20,9/19/2019
11178,20807,Carberry,"Tortillas - Flour, 12",854,5,10,10/14/2019
11178,20599,Iowa,"Shrimp - 21/25, Peel And Deviened",481,5,10,10/3/2019
11178,20647,Walton,Salt - Sea,814,8,50,5/29/2020
11178,20589,Bartelt,Bread - Ciabatta Buns,114,4,30,5/8/2020
11179,20303,Namekagon,Bread Base - Gold Formel,616,5,40,10/3/2019
11179,20605,Hudson,Hersey Shakes,741,7,10,3/13/2020
11180,20693,Kennedy,Energy - Boo - Koo,489,1,50,9/1/2019
11180,20450,Manitowish,Sausage - Blood Pudding,103,10,20,7/31/2019
11181,20053,Heath,Tomatoes Tear Drop Yellow,865,2,30,3/19/2020
11181,20104,Maple Wood,Cookie - Dough Variety,75,7,30,2/22/2020
11184,20080,Veith,"Trout - Rainbow, Fresh",897,4,40,7/7/2020
11186,20034,Talisman,Icecream - Dibs,42,2,20,2/4/2020
11186,20833,Delaware,Vinegar - Red Wine,383,9,50,1/15/2020
11186,20221,Warner,Petit Baguette,977,7,10,8/17/2019
11186,20372,Mayfield,Beef - Tender Tips,791,2,10,3/28/2020
11188,20493,Karstens,Eggplant Italian,489,5,10,1/22/2020
11188,20859,Judy,Wine - Port Late Bottled Vintage,86,10,30,4/16/2020
11188,20996,Debra,Plasticspoonblack,377,8,10,10/11/2019
11188,20903,Marquette,Chips - Assorted,517,6,30,6/12/2020
11189,20693,Karstens,Chicken - Base,457,5,10,10/12/2019
11189,20271,Lindbergh,"Beef - Ox Tail, Frozen",893,2,50,1/23/2020
11189,20588,Glacier Hill,Nantucket Apple Juice,559,6,30,9/3/2019
11189,20709,Magdeline,"Beef - Bones, Marrow",258,1,40,9/14/2019
11190,20867,Raven,Wine - Sake,710,10,40,5/30/2020
11191,20471,Bunting,Beer - Camerons Cream Ale,548,7,10,8/24/2019
11191,20876,Buena Vista,"Wine - Red, Wolf Blass, Yellow",932,10,40,12/16/2019
11192,20454,Anniversary,"Tabasco Sauce, 2 Oz",454,10,20,6/3/2020
11193,20634,Iowa,"Coconut - Shredded, Unsweet",412,7,20,4/23/2020
11194,20978,3rd,Longos - Lasagna Veg,147,8,60,11/26/2019
11196,20179,Lien,"Wine - Red, Marechal Foch",199,7,20,1/11/2020
11196,20515,Oakridge,Ecolab - Hand Soap Form Antibac,847,7,40,3/12/2020
11196,20863,Nevada,Coffee - Frthy Coffee Crisp,779,6,60,8/17/2019
11197,20862,Mitchell,Cups 10oz Trans,947,7,60,4/24/2020
11197,20270,International,Lamb - Loin Chops,910,6,10,4/10/2020
11198,20480,Kedzie,Cheese - Comte,192,4,60,9/12/2019
11198,20826,Northland,Nori Sea Weed - Gold Label,553,9,20,7/14/2020
11198,20941,Dahle,"Juice - V8, Tomato",255,9,40,5/10/2020
11199,20118,Old Gate,"Salmon - Atlantic, No Skin",138,5,30,12/10/2019
11200,20894,Sunnyside,"Pork - Loin, Bone - In",700,9,50,5/14/2020
11200,20592,Orin,Longan,274,5,50,12/16/2019
11201,20000,Crowley,Ice Cream - Vanilla,539,7,20,5/1/2020
11202,20782,Derek,"Lid - Translucent, 3.5 And 6 Oz",623,8,30,4/26/2020
11203,20670,Meadow Ridge,Beef - Shank,476,1,20,4/22/2020
11203,20482,Elgar,Muffin Mix - Chocolate Chip,917,1,10,12/20/2019
11204,20186,Doe Crossing,Bar Special K,624,9,60,7/4/2020
11205,20665,Oak,Longos - Grilled Veg Sandwiches,444,5,60,5/24/2020
11205,20003,Springview,"Mushroom - Enoki, Fresh",919,8,10,1/10/2020
11206,20954,Gateway,"Star Anise, Whole",341,8,50,11/30/2019
11206,20703,Blackbird,"Nut - Chestnuts, Whole",590,9,20,9/22/2019
11207,20029,Transport,Apple - Fuji,831,2,40,1/6/2020
11207,20764,Roxbury,Nougat - Paste / Cream,237,9,50,2/23/2020
11207,20377,Summerview,Cheese - Pied De Vents,508,8,10,10/8/2019
11207,20973,Ohio,Lotus Root,285,6,20,8/8/2019
11208,20099,Westridge,Tia Maria,858,7,30,8/7/2019
11208,20105,Ridge Oak,Flavouring - Orange,968,7,50,12/14/2019
11209,20374,Ludington,"Beef - Bones, Cut - Up",963,6,40,12/1/2019
11211,20120,Pennsylvania,Wine - Manischewitz Concord,303,7,50,12/10/2019
11211,20469,Delaware,"Lemonade - Kiwi, 591 Ml",898,3,30,10/21/2019
11213,20870,Summit,Tandoori Curry Paste,496,10,20,6/5/2020
11214,20786,Valley Edge,Carbonated Water - Blackcherry,561,2,40,11/16/2019
11214,20724,Merrick,Wine - Chablis J Moreau Et Fils,397,7,60,4/26/2020
11214,20984,Bashford,Alize Red Passion,252,6,40,7/8/2020
11215,20447,Talisman,Bagelers - Cinn / Brown,984,4,40,7/9/2020
11215,20279,Victoria,Wine - Muscadet Sur Lie,128,1,10,1/20/2020
11216,20119,Shoshone,Butter - Pod,453,7,50,1/12/2020
11216,20223,Monica,Meldea Green Tea Liquor,630,4,30,1/8/2020
11216,20807,Chinook,Wine - Sauvignon Blanc,80,6,60,10/28/2019
11217,20086,Truax,Wine - Sauvignon Blanc,341,7,60,7/14/2020
11217,20944,Hazelcrest,Ecolab - Mikroklene 4/4 L,387,4,40,3/26/2020
11218,20958,Cascade,Pork - European Side Bacon,737,1,30,12/29/2019
11218,20121,Sullivan,"Apple - Delicious, Red",708,7,40,8/20/2019
11219,20151,Summerview,Rice - Brown,653,1,50,1/26/2020
11220,20459,Morningstar,Flour - All Purpose,664,6,30,1/19/2020
11220,20883,Ramsey,Kippers - Smoked,420,8,60,12/16/2019
11221,20260,Hansons,Bread Roll Foccacia,973,7,20,11/19/2019
11222,20385,Atwood,"Pasta - Lasagna, Dry",60,5,60,11/1/2019
11223,20842,Mendota,Bread - Dark Rye,68,2,50,6/16/2020
11224,20595,Lake View,Vaccum Bag 10x13,649,7,50,10/30/2019
11225,20708,Warner,Soup - Campbells Mushroom,160,2,20,4/24/2020
11225,20520,Michigan,Barramundi,896,2,10,6/15/2020
11227,20519,Dayton,Onion Powder,666,2,50,7/2/2020
11227,20037,Forest,Wine - Balbach Riverside,151,3,40,4/24/2020
11227,20040,Nevada,Wine - Vineland Estate Semi - Dry,496,5,50,12/31/2019
11228,20572,1st,Sun - Dried Tomatoes,151,7,30,10/10/2019
11230,20714,Melvin,Skewers - Bamboo,694,9,10,5/6/2020
11231,20158,Northwestern,Wine - Sawmill Creek Autumn,932,7,60,7/14/2020
11232,20874,Ruskin,Cup - Translucent 7 Oz Clear,969,2,10,12/29/2019
11233,20090,Laurel,Gatorade - Cool Blue Raspberry,921,5,40,4/4/2020
11234,20902,Forest Dale,Shrimp - Black Tiger 26/30,426,6,50,3/16/2020
11235,20797,Bowman,Temperature Recording Station,692,1,20,7/23/2019
11236,20902,Daystar,"Chilli Paste, Hot Sambal Oelek",676,6,50,9/14/2019
11237,20138,Truax,Sauce - Hollandaise,626,1,50,5/12/2020
11240,20466,Sachs,Dried Peach,336,9,30,5/16/2020
11240,20484,Brentwood,Muffin Mix - Banana Nut,882,4,20,1/20/2020
11240,20309,Knutson,Squash - Pepper,711,8,10,5/23/2020
11240,20296,Vernon,Pork - Sausage Casing,895,8,60,2/24/2020
11242,20412,Corry,"Bread - Roll, Calabrese",129,7,30,6/17/2020
11242,20513,Colorado,Flavouring - Orange,288,1,10,11/26/2019
11244,20476,Del Mar,"Vodka - Hot, Lnferno",51,10,60,1/13/2020
11244,20483,Pawling,Figs,469,4,50,4/9/2020
