OrderID,CustID,RestID,Discount,ItemLine,Price
45,280,73,50,Wine - Vouvray Cuvee Domaine,271
45,280,73,50,Wine - Pinot Noir Mondavi Coastal,483
45,280,73,50,Wine - Vouvray Cuvee Domaine,271
45,280,73,50,Yoghurt Tubes,137
46,313,73,60,Sugar - White Packet,200
46,313,73,60,Beef Flat Iron Steak,437
46,313,73,60,Yoghurt Tubes,137
47,414,2,60,Wine - Cousino Macul Antiguas,80
48,484,99,10,Sage - Ground,302
49,323,84,30,Wine - Prosecco Valdobiaddene,472
49,323,84,30,Dried Cherries,131
49,323,84,30,Dried Cherries,131
49,323,84,30,Dried Apple,450
49,323,84,30,"Pepper - Black, Ground",121
49,323,84,30,Dried Cherries,131
50,136,40,60,"Water, Tap",182
50,136,40,60,"Mushroom - Morels, Dry",53
50,136,40,60,Chips Potato Swt Chilli Sour,118
50,136,40,60,Mudslide,167
50,136,40,60,"Mushroom - Morels, Dry",53
51,122,32,10,Sauce - Vodka Blush,216
51,122,32,10,Paper - Brown Paper Mini Cups,242
51,122,32,10,Yoplait Drink,344
51,122,32,10,Wine - Two Oceans Cabernet,433
51,122,32,10,Pur Source,53
52,396,67,50,Hersey Shakes,112
52,396,67,50,Hersey Shakes,112
52,396,67,50,Hersey Shakes,112
52,396,67,50,Teriyaki Sauce,95
52,396,67,50,"Nut - Almond, Blanched, Sliced",416
52,396,67,50,"Nut - Almond, Blanched, Sliced",416
53,136,44,50,"Carrots - Mini, Stem On",374
53,136,44,50,"Gingerale - Schweppes, 355 Ml",257
53,136,44,50,Steampan - Foil,248
53,136,44,50,"Gingerale - Schweppes, 355 Ml",257
53,136,44,50,Steampan - Foil,248
53,136,44,50,Sage Ground Wiberg,473
54,345,43,30,Lotus Leaves,311
54,345,43,30,Turkey - Ground. Lean,62
54,345,43,30,Tea - Decaf 1 Cup,338
54,345,43,30,"Shrimp - 16/20, Peeled Deviened",436
55,116,48,0,Towel Multifold,274
55,116,48,0,Fudge - Cream Fudge,65
55,116,48,0,Towel Multifold,274
55,116,48,0,Juice - Lagoon Mango,250
55,116,48,0,Beef Dry Aged Tenderloin Aaa,417
56,407,53,40,Wine - Penfolds Koonuga Hill,89
56,407,53,40,"Mushroom - Shitake, Dry",438
56,407,53,40,Table Cloth 54x54 Colour,366
56,407,53,40,Miso - Soy Bean Paste,283
56,407,53,40,Wine - Penfolds Koonuga Hill,89
57,21,13,60,"Crab - Claws, 26 - 30",309
57,21,13,60,"Crab - Claws, 26 - 30",309
58,166,53,40,Wine - Penfolds Koonuga Hill,89
58,166,53,40,Table Cloth 54x54 Colour,366
58,166,53,40,Table Cloth 54x54 Colour,366
58,166,53,40,Table Cloth 54x54 Colour,366
59,108,50,30,Wine - Pinot Grigio Collavini,64
59,108,50,30,Towel Multifold,274
59,108,50,30,Towel Multifold,274
60,14,90,20,"Ranchero - Primerba, Paste",254
60,14,90,20,Juice - V8 Splash,486
60,14,90,20,Lamb Tenderloin Nz Fr,256
60,14,90,20,Wine - Fat Bastard Merlot,211
60,14,90,20,Lobak,214
60,14,90,20,"Ranchero - Primerba, Paste",254
61,164,53,10,Miso - Soy Bean Paste,283
61,164,53,10,Table Cloth 54x54 Colour,366
61,164,53,10,Danishes - Mini Cheese,237
62,455,29,40,Beef - Ground Lean Fresh,236
63,456,29,20,Pork - Hock And Feet Attached,132
63,456,29,20,Pork - Hock And Feet Attached,132
63,456,29,20,Sausage - Chorizo,92
64,222,69,50,Milk - Skim,326
64,222,69,50,Ecolab - Balanced Fusion,265
65,75,50,0,Wine - Pinot Grigio Collavini,64
65,75,50,0,"Fish - Atlantic Salmon, Cold",157
65,75,50,0,Chicken - Tenderloin,139
66,469,2,60,"Gin - Gilbeys London, Dry",256
67,135,62,60,Tomato Puree,79
67,135,62,60,"Doilies - 8, Paper",236
67,135,62,60,"Beans - Black Bean, Canned",191
68,33,48,40,Cups 10oz Trans,449
68,33,48,40,Towel Multifold,274
68,33,48,40,Beef Dry Aged Tenderloin Aaa,417
69,102,6,0,"Nut - Hazelnut, Whole",385
69,102,6,0,Cheese - Comtomme,139
69,102,6,0,Thermometer Digital,491
69,102,6,0,Calypso - Strawberry Lemonade,402
69,102,6,0,Ham - Cooked Italian,57
69,102,6,0,Thermometer Digital,491
70,486,26,60,Beef Ground Medium,68
70,486,26,60,Wine - Black Tower Qr,365
70,486,26,60,Wine - Black Tower Qr,365
70,486,26,60,Eel Fresh,350
70,486,26,60,Cheese - Swiss,396
71,293,80,60,Calypso - Strawberry Lemonade,402
71,293,80,60,Shrimp - Black Tiger 26/30,440
71,293,80,60,Soup - Campbells Bean Medley,446
72,210,98,30,Truffle Cups - Brown,231
72,210,98,30,Oneshot Automatic Soap System,351
72,210,98,30,Tea - Apple Green Tea,314
72,210,98,30,"Lemonade - Natural, 591 Ml",443
73,486,3,0,Lamb - Loin Chops,490
74,43,38,20,Sausage - Breakfast,273
75,178,99,30,Soup Knorr Chili With Beans,378
75,178,99,30,Soup Knorr Chili With Beans,378
76,181,2,0,"Asparagus - Green, Fresh",364
76,181,2,0,Gatorade - Cool Blue Raspberry,470
76,181,2,0,"Doilies - 8, Paper",236
77,301,87,0,Juice - Cranberry 284ml,206
77,301,87,0,Swordfish Loin Portions,84
77,301,87,0,Sea Bass - Whole,430
77,301,87,0,Sea Bass - Whole,430
77,301,87,0,Island Oasis - Peach Daiquiri,219
77,301,87,0,Island Oasis - Peach Daiquiri,219
78,136,72,10,Shopper Bag - S - 4,103
78,136,72,10,Garam Masala Powder,57
78,136,72,10,Sun - Dried Tomatoes,449
78,136,72,10,Beer - Original Organic Lager,189
78,136,72,10,Garam Masala Powder,57
78,136,72,10,Sun - Dried Tomatoes,449
79,90,60,60,Hummus - Spread,257
79,90,60,60,"Glass - Wine, Plastic, Clear 5 Oz",224
79,90,60,60,Hummus - Spread,257
80,437,17,40,Red Currant Jelly,290
80,437,17,40,Muffin Batt - Carrot Spice,55
80,437,17,40,Red Currant Jelly,290
80,437,17,40,Food Colouring - Orange,90
80,437,17,40,Red Currant Jelly,290
80,437,17,40,Food Colouring - Orange,90
81,158,98,30,Pork - Back Ribs,120
81,158,98,30,"Soup - Knorr, Ministrone",272
82,370,16,30,Flower - Daisies,355
82,370,16,30,Puff Pastry - Sheets,97
82,370,16,30,Pork - European Side Bacon,380
83,235,82,10,Muffin - Zero Transfat,433
83,235,82,10,Hagen Daza - Dk Choocolate,241
83,235,82,10,Wine - Guy Sage Touraine,69
83,235,82,10,Black Currants,399
83,235,82,10,Cake - Dulce De Leche,149
83,235,82,10,Muffin - Zero Transfat,433
84,155,87,50,Sea Bass - Whole,430
84,155,87,50,Sea Bass - Whole,430
84,155,87,50,Salmon - Sockeye Raw,245
85,349,49,50,Island Oasis - Wildberry,333
85,349,49,50,Island Oasis - Wildberry,333
86,156,57,60,Roe - Flying Fish,488
86,156,57,60,Juice - Ocean Spray Cranberry,372
86,156,57,60,Spinach - Frozen,414
86,156,57,60,Compound - Strawberry,123
87,151,1,30,The Pop Shoppe - Root Beer,244
87,151,1,30,Sugar - Palm,375
87,151,1,30,Mcgillicuddy Vanilla Schnap,196
87,151,1,30,Ginsing - Fresh,445
87,151,1,30,Soy Protein,187
88,82,62,50,Beer - Blue Light,317
89,111,20,10,Russian Prince,88
89,111,20,10,Russian Prince,88
89,111,20,10,Ham - Procutinni,481
89,111,20,10,Beef - Tenderloin Tails,119
90,151,16,60,"Crab - Back Fin Meat, Canned",135
90,151,16,60,Beans - Soya Bean,494
90,151,16,60,Flower - Daisies,355
90,151,16,60,"Bread - Sticks, Thin, Plain",304
90,151,16,60,"Crab - Back Fin Meat, Canned",135
91,267,64,0,Pears - Bosc,52
91,267,64,0,Red Currant Jelly,290
91,267,64,0,"Jam - Raspberry,jar",365
92,134,74,60,Stainless Steel Cleaner Vision,116
92,134,74,60,Bread - Burger,241
92,134,74,60,Alize Red Passion,448
93,416,79,50,Chutney Sauce,459
94,51,75,50,"Juice - Apple, 500 Ml",448
94,51,75,50,"Chicken - Base, Ultimate",172
94,51,75,50,Juice - Lemon,97
94,51,75,50,Oranges,193
94,51,75,50,"Juice - Apple, 500 Ml",448
94,51,75,50,Cheese - Sheep Milk,102
95,76,86,20,Wine - Marlbourough Sauv Blanc,92
95,76,86,20,Spring Roll Wrappers,202
96,10,17,10,Food Colouring - Orange,90
96,10,17,10,Smoked Tongue,71
96,10,17,10,Food Colouring - Orange,90
96,10,17,10,Beef Wellington,167
96,10,17,10,Breakfast Quesadillas,130
97,6,51,30,Liqueur - Melon,261
98,94,95,0,"Nut - Walnut, Chopped",277
98,94,95,0,Black Currants,399
98,94,95,0,"Bread - Multigrain, Loaf",483
99,44,90,10,"Sparkling Wine - Rose, Freixenet",334
99,44,90,10,Oil - Peanut,241
100,326,85,50,Sprouts - Pea,305
100,326,85,50,Spice - Greek 1 Step,215
100,326,85,50,Piping - Bags Quizna,166
100,326,85,50,Soup - Campbells,163
101,128,62,0,Longos - Chicken Cordon Bleu,422
101,128,62,0,Tomato Puree,79
102,472,30,30,Kale - Red,455
102,472,30,30,Kale - Red,455
103,483,36,0,"Plate - Foam, Bread And Butter",69
103,483,36,0,Juice - Lemon,97
103,483,36,0,The Pop Shoppe - Root Beer,244
104,492,89,50,Cookie Double Choco,241
105,150,47,60,Bread Ww Cluster,347
105,150,47,60,Pate - Peppercorn,187
105,150,47,60,"Mushroom - Shitake, Fresh",265
105,150,47,60,Pasta - Fusili Tri - Coloured,321
105,150,47,60,Bread Ww Cluster,347
105,150,47,60,Cabbage - Savoy,357
106,39,56,40,"Apple - Delicious, Golden",302
106,39,56,40,Truffle Shells - White Chocolate,469
106,39,56,40,Truffle Shells - White Chocolate,469
106,39,56,40,Red Currant Jelly,290
106,39,56,40,Grapefruit - White,95
107,424,87,50,Longos - Chicken Cordon Bleu,422
107,424,87,50,Sea Bass - Whole,430
107,424,87,50,Swordfish Loin Portions,84
107,424,87,50,Island Oasis - Peach Daiquiri,219
107,424,87,50,Island Oasis - Peach Daiquiri,219
108,306,21,50,Cabbage - Green,261
108,306,21,50,Pepper - Roasted Red,215
108,306,21,50,Remy Red Berry Infusion,368
109,184,36,10,Curry Paste - Madras,334
109,184,36,10,Ginger - Pickled,388
109,184,36,10,Beer - Creemore,120
110,67,43,60,"Cup - 6oz, Foam",407
110,67,43,60,Remy Red,114
111,50,94,60,Irish Cream - Baileys,358
112,356,25,20,Tea - Black Currant,130
112,356,25,20,Tea - Herbal - 6 Asst,281
112,356,25,20,Skewers - Bamboo,382
113,267,68,40,"Pepper - Paprika, Hungarian",254
113,267,68,40,"Pepper - Paprika, Hungarian",254
114,406,99,60,Oil - Sunflower,149
114,406,99,60,Wine - Trimbach Pinot Blanc,83
114,406,99,60,Wine - Trimbach Pinot Blanc,83
114,406,99,60,Scallops - In Shell,251
115,84,65,10,Appetizer - Chicken Satay,168
115,84,65,10,Lamb Tenderloin Nz Fr,256
116,146,22,0,Cheese - Bocconcini,307
117,402,74,20,Easy Off Oven Cleaner,474
117,402,74,20,Bread - Burger,241
117,402,74,20,Sauce - Ranch Dressing,351
117,402,74,20,Chocolate - Sugar Free Semi Choc,311
118,226,97,10,"Soup - Campbells, Classic Chix",84
118,226,97,10,"Soup - Campbells, Classic Chix",84
119,180,29,40,Poppy Seed,264
119,180,29,40,Wine - Segura Viudas Aria Brut,234
120,240,46,40,"Wine - White, Pinot Grigio",415
120,240,46,40,Spinach - Baby,351
120,240,46,40,"Turkey - Breast, Bone - In",247
120,240,46,40,"Turkey - Breast, Bone - In",247
120,240,46,40,Figs,440
121,58,5,30,Beef - Top Butt Aaa,72
121,58,5,30,Canada Dry,258
122,112,100,60,"Rum - Light, Captain Morgan",393
122,112,100,60,Wine - Delicato Merlot,347
122,112,100,60,Salmon - Fillets,480
123,225,6,40,"Nut - Hazelnut, Whole",385
123,225,6,40,Cheese - Comtomme,139
123,225,6,40,Chocolate - Mi - Amere Semi,146
123,225,6,40,Salmon - Sockeye Raw,245
123,225,6,40,Thermometer Digital,491
124,158,66,60,Tea - Earl Grey,215
124,158,66,60,Truffle Shells - Semi - Sweet,157
124,158,66,60,"Bread - Dark Rye, Loaf",111
124,158,66,60,"Tomatoes - Diced, Canned",375
125,459,91,60,Shrimp - Tiger 21/25,353
126,265,43,0,"Napkin - Dinner, White",155
126,265,43,0,Tea - Decaf 1 Cup,338
126,265,43,0,"Shrimp - 16/20, Peeled Deviened",436
126,265,43,0,Turkey - Ground. Lean,62
127,370,97,60,Table Cloth 62x120 White,307
128,90,45,30,Wine - Ice Wine,137
128,90,45,30,Dried Apple,450
128,90,45,30,"Flour - Corn, Fine",217
128,90,45,30,Dried Apple,450
128,90,45,30,Sauce - Mint,166
128,90,45,30,Lettuce - Romaine,374
129,83,87,50,"Yeast - Fresh, Fleischman",101
129,83,87,50,Longos - Chicken Cordon Bleu,422
130,50,77,60,Longos - Assorted Sandwich,451
130,50,77,60,Cheese - Mix,402
130,50,77,60,Cheese - Mix,402
130,50,77,60,Wine - Chardonnay Mondavi,358
130,50,77,60,Worcestershire Sauce,117
130,50,77,60,Pepper - Chili Powder,252
131,197,20,60,Ham - Procutinni,481
131,197,20,60,Beef - Tenderloin Tails,119
131,197,20,60,Ice Cream - Turtles Stick Bar,114
131,197,20,60,Cognac - Courvaisier,127
131,197,20,60,Beef - Tenderloin Tails,119
131,197,20,60,Beef - Prime Rib Aaa,231
132,73,26,20,Eel Fresh,350
132,73,26,20,Cheese - Swiss,396
133,73,55,30,Icecream - Dibs,170
133,73,55,30,Sauce - Demi Glace,271
133,73,55,30,Veal - Slab Bacon,336
133,73,55,30,Icecream - Dibs,170
133,73,55,30,Icecream - Dibs,170
134,108,43,40,Wine - Toasted Head,130
134,108,43,40,Corn Kernels - Frozen,424
134,108,43,40,Remy Red,114
134,108,43,40,Lotus Leaves,311
134,108,43,40,"Cup - 6oz, Foam",407
135,124,57,30,Roe - Flying Fish,488
135,124,57,30,Compound - Strawberry,123
135,124,57,30,Salt - Sea,219
135,124,57,30,Salt - Sea,219
135,124,57,30,Compound - Strawberry,123
135,124,57,30,Salt - Sea,219
136,34,81,30,"Lamb - Pieces, Diced",284
136,34,81,30,"Pepper - Black, Crushed",88
136,34,81,30,Bay Leaf Ground,322
136,34,81,30,Wine - Rhine Riesling Wolf Blass,485
137,34,15,10,Seaweed Green Sheets,97
137,34,15,10,Butter Sweet,156
138,449,37,40,Tomato Puree,79
138,449,37,40,"Soup - Knorr, Chicken Gumbo",79
138,449,37,40,"Soup - Knorr, Chicken Gumbo",79
138,449,37,40,"Soup - Knorr, Chicken Gumbo",79
138,449,37,40,"Soup - Knorr, Chicken Gumbo",79
138,449,37,40,Wine - Red Oakridge Merlot,477
139,297,65,0,Seabream Whole Farmed,119
139,297,65,0,Lamb Tenderloin Nz Fr,256
139,297,65,0,"Pasta - Spaghetti, Dry",358
139,297,65,0,"Pasta - Spaghetti, Dry",358
139,297,65,0,Cookies - Amaretto,59
140,466,19,40,"Artichoke - Hearts, Canned",72
140,466,19,40,Flower - Potmums,309
141,107,14,20,Remy Red,114
142,345,24,10,Salt - Seasoned,273
142,345,24,10,Pasta - Canelloni,113
142,345,24,10,Chick Peas - Dried,267
142,345,24,10,"Pasta - Cappellini, Dry",479
142,345,24,10,Lid Tray - 16in Dome,157
142,345,24,10,Coffee - Flavoured,94
143,53,69,0,Milk - Skim,326
143,53,69,0,"Pepper - Paprika, Spanish",188
143,53,69,0,Cheese - Brie,473
143,53,69,0,Cheese - Brie,473
143,53,69,0,"Pepper - Paprika, Spanish",188
144,188,6,40,Calypso - Strawberry Lemonade,402
144,188,6,40,Salmon - Sockeye Raw,245
144,188,6,40,Calypso - Strawberry Lemonade,402
144,188,6,40,Ham - Cooked Italian,57
144,188,6,40,Thermometer Digital,491
145,11,36,0,Juice - Lemon,97
145,11,36,0,Bread - Pumpernickel,256
145,11,36,0,Vacuum Bags 12x16,230
145,11,36,0,Juice - Lemon,97
145,11,36,0,Juice - Lemon,97
146,274,55,40,Veal - Slab Bacon,336
147,320,77,60,Longos - Assorted Sandwich,451
147,320,77,60,Wine - Zonnebloem Pinotage,454
147,320,77,60,Pie Filling - Cherry,353
147,320,77,60,Pepper - Chili Powder,252
147,320,77,60,Cheese - Mix,402
148,331,87,0,Sea Bass - Whole,430
148,331,87,0,Island Oasis - Peach Daiquiri,219
148,331,87,0,Sea Bass - Whole,430
148,331,87,0,Longos - Chicken Cordon Bleu,422
149,81,69,10,"Sprite, Diet - 355ml",266
150,380,86,0,"Crab - Dungeness, Whole, live",286
151,44,42,20,Soup Campbells - Italian Wedding,293
152,484,29,60,Sausage - Chorizo,92
153,369,3,50,Chip - Potato Dill Pickle,478
154,77,33,10,"Nut - Pine Nuts, Whole",258
154,77,33,10,"Nut - Pine Nuts, Whole",258
155,39,91,40,Cheese - Brie Roitelet,258
155,39,91,40,"Tortillas - Flour, 8",122
156,155,49,10,Vinegar - Champagne,55
156,155,49,10,"Croissant, Raw - Mini",163
156,155,49,10,Island Oasis - Wildberry,333
156,155,49,10,Nougat - Paste / Cream,419
156,155,49,10,Foil Cont Round,420
157,274,87,60,Island Oasis - Peach Daiquiri,219
157,274,87,60,Pork - Ham Hocks - Smoked,98
157,274,87,60,Pork - Ham Hocks - Smoked,98
157,274,87,60,Longos - Chicken Cordon Bleu,422
158,418,39,40,"Bread - Pita, Mini",400
158,418,39,40,Soup - Campbells - Chicken Noodle,159
159,447,66,60,Rappini - Andy Boy,83
159,447,66,60,"Vermouth - Sweet, Cinzano",148
160,10,49,30,Tea - Herbal Sweet Dreams,455
161,173,99,0,Sage - Ground,302
161,173,99,0,Oil - Sunflower,149
161,173,99,0,"Potatoes - Purple, Organic",444
162,197,71,50,"Cheese - Cheddar, Old White",488
163,85,97,0,"Liqueur Banana, Ramazzotti",82
163,85,97,0,Table Cloth 62x120 White,307
163,85,97,0,Ham Black Forest,320
163,85,97,0,Shiratamako - Rice Flour,381
164,489,48,50,Juice - Lagoon Mango,250
164,489,48,50,Juice - Lagoon Mango,250
164,489,48,50,Evaporated Milk - Skim,377
164,489,48,50,Cornish Hen,176
165,430,3,40,Pepper - Red Bell,215
165,430,3,40,Aspic - Clear,473
165,430,3,40,Dried Peach,485
165,430,3,40,Aspic - Clear,473
165,430,3,40,Lamb - Loin Chops,490
166,354,75,50,"Chicken - Base, Ultimate",172
166,354,75,50,"Chicken - Base, Ultimate",172
166,354,75,50,Juice - Lemon,97
167,375,38,10,Sausage - Breakfast,273
167,375,38,10,Wine - Red Oakridge Merlot,477
167,375,38,10,Wine - Guy Sage Touraine,69
167,375,38,10,Wine - Red Oakridge Merlot,477
167,375,38,10,Wine - Red Oakridge Merlot,477
168,332,41,30,Nantucket - Pomegranate Pear,53
168,332,41,30,"Juice - Clamato, 341 Ml",197
168,332,41,30,Gherkin,404
168,332,41,30,"Pork - Chop, Frenched",243
168,332,41,30,Gherkin,404
168,332,41,30,"Juice - Clamato, 341 Ml",197
169,452,100,20,Pickerel - Fillets,208
169,452,100,20,"Tea - Darjeeling, Azzura",143
169,452,100,20,Wine - Gato Negro Cabernet,254
169,452,100,20,"Rum - Light, Captain Morgan",393
170,367,41,60,Muffin - Banana Nut Individual,189
170,367,41,60,Chocolate Eclairs,292
170,367,41,60,"Juice - Clamato, 341 Ml",197
171,461,50,60,Sprouts - Peppercress,177
171,461,50,60,Muffin Batt - Choc Chk,431
171,461,50,60,"Fish - Atlantic Salmon, Cold",157
171,461,50,60,Towel Multifold,274
171,461,50,60,Towel Multifold,274
171,461,50,60,Sprouts - Peppercress,177
172,396,83,10,Bagelers,483
172,396,83,10,"Bar Mix - Pina Colada, 355 Ml",398
173,473,10,40,Huck White Towels,476
173,473,10,40,Beef - Top Sirloin,153
174,264,31,30,Sauce - Oyster,285
174,264,31,30,Muffin Batt - Ban Dream Zero,389
174,264,31,30,Muffin Batt - Ban Dream Zero,389
174,264,31,30,Icecream - Dstk Cml And Fdg,401
175,234,40,50,Trueblue - Blueberry Cranberry,162
175,234,40,50,Mudslide,167
175,234,40,50,Mudslide,167
175,234,40,50,Thyme - Dried,162
176,447,90,20,Lobak,214
177,192,46,0,Figs,440
177,192,46,0,Creme De Menthe Green,138
178,59,14,20,Cloves - Whole,191
178,59,14,20,Tart - Butter Plain Squares,183
178,59,14,20,Tart - Butter Plain Squares,183
178,59,14,20,Cloves - Whole,191
179,307,91,0,"Thyme - Lemon, Fresh",58
180,373,82,40,Olives - Kalamata,392
180,373,82,40,Black Currants,399
181,247,68,0,Zucchini - Yellow,316
181,247,68,0,Plate Pie Foil,403
181,247,68,0,Zucchini - Yellow,316
182,462,18,30,Wine - Chateau Aqueria Tavel,295
182,462,18,30,Melon - Cantaloupe,195
182,462,18,30,Nacho Chips,398
182,462,18,30,Wine - Chateau Aqueria Tavel,295
182,462,18,30,Nacho Chips,398
183,346,18,10,Wine - Chateau Aqueria Tavel,295
183,346,18,10,Nacho Chips,398
184,97,4,60,Bread - Kimel Stick Poly,146
184,97,4,60,Bread - Kimel Stick Poly,146
184,97,4,60,Table Cloth 144x90 White,319
184,97,4,60,Tea - English Breakfast,367
185,156,39,20,"Bread - Pita, Mini",400
185,156,39,20,"Veal - Inside Round / Top, Lean",160
185,156,39,20,"Veal - Inside Round / Top, Lean",160
185,156,39,20,Sobe - Lizard Fuel,234
186,94,6,10,Cheese - Comtomme,139
187,181,80,0,Veal - Knuckle,151
187,181,80,0,Muffin Mix - Oatmeal,497
187,181,80,0,Muffin Mix - Oatmeal,497
187,181,80,0,Calypso - Strawberry Lemonade,402
187,181,80,0,Shrimp - Black Tiger 26/30,440
188,479,46,60,Spinach - Baby,351
188,479,46,60,Soup - Base Broth Beef,399
189,8,48,0,Cheese - Asiago,273
189,8,48,0,Pepper - Green Thai,244
189,8,48,0,Cups 10oz Trans,449
189,8,48,0,Beef Dry Aged Tenderloin Aaa,417
189,8,48,0,Pepper - Green Thai,244
190,88,39,0,Soup - Campbells - Chicken Noodle,159
190,88,39,0,Milk - 2% 250 Ml,230
190,88,39,0,"Mushroom - Enoki, Dry",450
